sub id,q group no,score,link,avg,,
,2,6,,,,
,3,3,,,,
,4,5,,,,
,5,3,,,,
58478325,avg,5.2,https://admin.streetbees.com/projects/26618/submissions/58478325,5.0,5.2,5
,1,4,,,,
,2,6,,,,
,3,5,,,,
,4,5,,,,
,5,5,,,,
,6,6,,,,
58505528,avg,4.2,https://admin.streetbees.com/projects/26618/submissions/58505528,4.0,4.2,4
,1,5,,,,
,2,5,,,,
,3,2,,,,
,4,5,,,,
,5,4,,,,
58505591,avg,4.4,https://admin.streetbees.com/projects/26618/submissions/58505591,4.0,4.4,4
,1,6,,,,
,2,5,,,,
,3,4,,,,
,4,4,,,,
,5,3,,,,
58477907,avg,3.0,https://admin.streetbees.com/projects/26618/submissions/58477907,3.0,3.0,3
,1,4,,,,
,2,2,,,,
,3,3,,,,
,4,3,,,,
,5,3,,,,
,6,3,,,,
58479296,avg,2.4,https://admin.streetbees.com/projects/26618/submissions/58479296,2.0,2.4,2
,1,2,,,,
,2,2,,,,
,3,2,,,,
,4,3,,,,
,5,3,,,,
58479376,avg,2.7,https://admin.streetbees.com/projects/26618/submissions/58479376,3.0,2.7,2
,1,6,,,,
,2,4,,,,
,3,3,,,,
,4,1,,,,
,5,1,,,,
,6,1,,,,
58481112,avg,3.0,https://admin.streetbees.com/projects/26618/submissions/58481112,3.0,3.0,3
,1,5,,,,
,2,5,,,,
,3,3,,,,
,4,1,,,,
,5,1,,,,
58470386,avg,1.2,https://admin.streetbees.com/projects/26618/submissions/58470386,1.0,1.2,1
,1,1,,,,
,2,1,,,,
,3,1,,,,
,4,1,,,,
,5,2,,,,
,6,1,,,,
58517407,avg,6.0,https://admin.streetbees.com/projects/26618/submissions/58517407,6.0,6.0,6
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,6,,,,
,6,6,,,,
58508079,avg,5.8,https://admin.streetbees.com/projects/26618/submissions/58508079,6.0,5.8,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,6,,,,
,6,5,,,,
58504462,avg,5.8,https://admin.streetbees.com/projects/26618/submissions/58504462,6.0,5.8,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,5,,,,
58469005,avg,6.0,https://admin.streetbees.com/projects/26618/submissions/58469005,6.0,6.0,6
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,6,,,,
58467031,avg,2.0,https://admin.streetbees.com/projects/26618/submissions/58467031,2.0,2.0,2
,1,4,,,,
,2,4,,,,
,3,1,,,,
,4,1,,,,
,5,1,,,,
,6,1,,,,
58467101,avg,2.6,https://admin.streetbees.com/projects/26618/submissions/58467101,3.0,2.6,2
,1,2,,,,
,2,3,,,,
,3,3,,,,
,4,3,,,,
,5,2,,,,
58467238,avg,1.7,https://admin.streetbees.com/projects/26618/submissions/58467238,2.0,1.7,1
,1,3,,,,
,2,1,,,,
,3,1,,,,
,4,2,,,,
,5,2,,,,
,6,1,,,,
58479957,avg,5.0,https://admin.streetbees.com/projects/26618/submissions/58479957,5.0,5.0,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,1,,,,
58480844,avg,5.8,https://admin.streetbees.com/projects/26618/submissions/58480844,6.0,5.8,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,5,,,,
,5,6,,,,
,6,6,,,,
58469609,avg,5.3,https://admin.streetbees.com/projects/26618/submissions/58469609,6.0,5.3,5
,1,6,,,,
,2,5,,,,
,3,6,,,,
,4,6,,,,
,5,5,,,,
,6,4,,,,
